name,address,pho,dhb,enrolled,accepting_patients,sa3_name,region,nz_dep,sa3_pop,sa3_maori_pct,sa3_pasifika_pct,nearest_ed,nearest_ed_km,nearest_afterhours,nearest_afterhours_km
"Medicross Urgent Care & GP Clinic","8 Egmont Street, New Plymouth 4310","Pinnacle Midlands Health Network","Taranaki District Health Board",2998,true,"New Plymouth Centre","Taranaki Region",6.7,3507,16.9,1.8,"Taranaki DHB - Emergency Department",2,"MediCross Urgent Care & GP Clinic",0
"Dr Krishnen Pillay's Surgery","189 Victoria Street, Cambridge 3434","Pinnacle Midlands Health Network","Waikato District Health Board",1350,true,"Cambridge West","Waikato Region",3,3204,8.9,1.7,"Waikato Hospital Emergency Department",18.3,"Mahoe Med",17.6
"South City Health (Hamilton)","91 Kahikatea Drive, Melville, Hamilton 3206","Pinnacle Midlands Health Network","Waikato District Health Board",7500,true,"Frankton (Hamilton City)","Waikato Region",9,7311,36.2,9.3,"Waikato Hospital Emergency Department",0.9,"Anglesea Accident & Medical",2.1
"Cambridge Medical Centre","48 Alpha Street, Cambridge 3434","National Hauora Coalition","Waikato District Health Board",10000,true,"Cambridge Centre","Waikato Region",5.3,3810,11.3,2.0,"Waikato Hospital Emergency Department",19,"Mahoe Med",16.8
"Nelson East Family Medical Centre","7 Alton Street, Nelson 7010","Nelson Bays Primary Health","Nelson Marlborough District Health Board",3400,true,"Nelson Centre","Nelson Region",6.8,5868,12.5,3.3,"Nelson Hospital Emergency Department",2,"Medical and Injury Centre Ltd (Nelson)",1.9
"Tuapeka Community Health","43 Whitehaven Street, Lawrence 9532","Well South Primary Health Network","Southern District Health Board",1163,true,"West Otago-Tuapeka","Otago Region",4.7,3483,12.0,0.8,"Gore Hospital Services",61.6,"Clutha Health First Health Centre",35.4
"Arena HealthCare","33 Arena Avenue, Avenal, Invercargill 9810","Well South Primary Health Network","Southern District Health Board",4200,true,"Invercargill Centre-Avenal","Southland Region",8.6,2469,17.0,4.9,"Southland Hospital Emergency Department",3.9,"Invercargill After Hours Service",1
"Oamaru Doctors","8 Coquet Street, Oamaru 9400","Well South Primary Health Network","Southern District Health Board",3833,true,"Oamaru Centre","Otago Region",8.1,2187,9.7,11.7,"Ōamaru Hospital Emergency Department",0.3,"Timaru After Hours Medical Services",80.5
"Mansfield Health Practice","206A Papanui Road, Merivale, Christchurch 8014","Pegasus Health","Canterbury District Health Board",2000,true,"St Albans","Canterbury Region",4.8,13986,9.2,2.7,"Christchurch Hospital ED",2.5,"Promed Doctors",1.4
"Juno Health","189 Cranford Street, St Albans, Christchurch 8014","Pegasus Health","Canterbury District Health Board",3090,true,"St Albans","Canterbury Region",4.8,13986,9.2,2.7,"Christchurch Hospital ED",3.3,"Promed Doctors",1.2
"Altimus Health","18 Limerick Street, Alexandra 9320","Well South Primary Health Network","Southern District Health Board",1762,true,"Alexandra","Otago Region",4,5586,11.0,1.9,"Queenstown Lakes Emergency Department",57.7,"HealthCentral",0.7
"HealthCentral","105 Tarbert Street, Alexandra 9320","Well South Primary Health Network","Southern District Health Board",9600,true,"Alexandra","Otago Region",4,5586,11.0,1.9,"Queenstown Lakes Emergency Department",57.7,"HealthCentral",0
"Willow Medical Centre","63 Catherine Street, Windsor, Invercargill 9810","Well South Primary Health Network","Southern District Health Board",4930,true,"Windsor","Southland Region",5,3291,12.4,2.6,"Southland Hospital Emergency Department",4.7,"Invercargill Urgent Doctor After Hours Service",1.9
"Merivale Medical Practice","236 Papanui Road, Merivale, Christchurch 8014","Christchurch PHO","Canterbury District Health Board",8000,true,"St Albans","Canterbury Region",4.8,13986,9.2,2.7,"Christchurch Hospital ED",2.7,"Promed Doctors",1.5
"WeCare Faringdon","423 Springston Rolleston Road, Rolleston 7615","Pegasus Health","Canterbury District Health Board",26000,true,"Rolleston South West","Canterbury Region",1.6,9777,10.7,3.6,"Christchurch Hospital ED",20.3,"WeCare Health - Rolleston",0.2
"East Otago Health - Waikouaiti Clinic","201 Main Road, Waikouaiti 9510","Well South Primary Health Network","Southern District Health Board",2300,true,"Dunedin City Coast","Otago Region",4.9,5904,11.7,1.5,"Dunedin Hospital Emergency Department",33,"Dunedin Urgent Doctors & Accident Centre",33.3
"Three Rivers Health","7 Allens Road, Allenton, Ashburton 7700","Waitaha Primary Health","Canterbury District Health Board",10550,true,"Allenton","Canterbury Region",4.6,7113,8.1,7.0,"Timaru Hospital - Emergency Department",69.3,"WeCare Health - Rolleston",61
"Cromwell Medical Centre","192 Waenga Drive, Cromwell 9310","Well South Primary Health Network","Southern District Health Board",4500,true,"Cromwell","Otago Region",3.4,6783,9.3,3.1,"Queenstown Lakes Emergency Department",36.2,"HealthCentral",28.5
"Omaka Medical","4 Richardson Avenue, Burleigh, Blenheim 7201","Marlborough Primary Health/Kimi Hauora Wairau","Nelson Marlborough District Health Board",6000,true,"Yelverton-Burleigh","Marlborough Region",3.9,3489,11.6,3.7,"Nelson Hospital Emergency Department",61.3,"Marlborough Urgent Care Centre",1.1
"Gardens Medical & Sports Medicine Centre","26 Bank Street, North East Valley, Dunedin 9010","Well South Primary Health Network","Southern District Health Board",4850,true,"North East Valley","Otago Region",6.7,5478,11.8,4.7,"Dunedin Hospital Emergency Department",1.9,"Dunedin Urgent Doctors & Accident Centre",2.3
"Invercargill Medical Centre","160 Don Street, Invercargill 9810","Well South Primary Health Network","Southern District Health Board",12600,true,"Invercargill Centre-Avenal","Southland Region",8.6,2469,17.0,4.9,"Southland Hospital Emergency Department",3,"Invercargill Urgent Doctor After Hours Service",0.3
"Meridian Medical Centre","Suite 3 Car Park Level One, 3/267 George Street, Dunedin Central, Dunedin 9016","Well South Primary Health Network","Southern District Health Board",6300,true,"Dunedin Centre","Otago Region",8.3,7179,11.4,5.4,"Dunedin Hospital Emergency Department",0.2,"Dunedin Urgent Doctors & Accident Centre",0.3
"Milton Medical Centre","7 Eden Street, Milton 9220","Well South Primary Health Network","Southern District Health Board",7100,true,"Milton","Otago Region",5.8,4641,17.4,2.1,"Dunedin Hospital Emergency Department",50.8,"Clutha Health First Health Centre",21.2
